seed_event_id,window_id,length,avg_prob,score_sum_logprob,chain
29,0,2,0.9989669322967529,-0.0010336016854783588,29 -> 49
30,0,2,0.9989669322967529,-0.0010336016854783588,30 -> 49
31,0,2,0.9989669322967529,-0.0010336016854783588,31 -> 49
32,0,2,0.9989669322967529,-0.0010336016854783588,32 -> 49
33,0,2,0.9989669322967529,-0.0010336016854783588,33 -> 49
34,0,2,0.9989669322967529,-0.0010336016854783588,34 -> 49
35,0,2,0.9989669322967529,-0.0010336016854783588,35 -> 49
36,0,2,0.9989669322967529,-0.0010336016854783588,36 -> 49
37,0,2,0.9989669322967529,-0.0010336016854783588,37 -> 49
38,0,2,0.9989669322967529,-0.0010336016854783588,38 -> 49
39,0,2,0.9989669322967529,-0.0010336016854783588,39 -> 49
40,0,2,0.9989669322967529,-0.0010336016854783588,40 -> 49
41,0,2,0.9989669322967529,-0.0010336016854783588,41 -> 49
42,0,2,0.9989669322967529,-0.0010336016854783588,42 -> 49
43,0,2,0.9989669322967529,-0.0010336016854783588,43 -> 49
44,0,2,0.9989669322967529,-0.0010336016854783588,44 -> 49
45,0,2,0.9989669322967529,-0.0010336016854783588,45 -> 49
46,0,2,0.9989669322967529,-0.0010336016854783588,46 -> 49
47,0,2,0.9989669322967529,-0.0010336016854783588,47 -> 49
48,0,2,0.9989669322967529,-0.0010336016854783588,48 -> 49
16,0,3,0.9989668130874634,-0.002067442036121544,16 -> 29 -> 49
17,0,3,0.9989668130874634,-0.002067442036121544,17 -> 29 -> 49
18,0,3,0.9989668130874634,-0.002067442036121544,18 -> 29 -> 49
19,0,3,0.9989668130874634,-0.002067442036121544,19 -> 29 -> 49
20,0,3,0.9989668130874634,-0.002067442036121544,20 -> 29 -> 49
21,0,3,0.9989668130874634,-0.002067442036121544,21 -> 29 -> 49
22,0,3,0.9989668130874634,-0.002067442036121544,22 -> 29 -> 49
23,0,3,0.9989668130874634,-0.002067442036121544,23 -> 29 -> 49
24,0,3,0.9989668130874634,-0.002067442036121544,24 -> 29 -> 49
25,0,3,0.9989668130874634,-0.002067442036121544,25 -> 29 -> 49
26,0,3,0.9989668130874634,-0.002067442036121544,26 -> 29 -> 49
27,0,3,0.9989668130874634,-0.002067442036121544,27 -> 29 -> 49
28,0,3,0.9989668130874634,-0.002067442036121544,28 -> 29 -> 49
0,0,4,0.9989669720331827,-0.0031006857239594655,0 -> 16 -> 29 -> 49
1,0,4,0.9989669720331827,-0.0031006857239594655,1 -> 16 -> 29 -> 49
2,0,4,0.9989669720331827,-0.0031006857239594655,2 -> 16 -> 29 -> 49
3,0,4,0.9989669720331827,-0.0031006857239594655,3 -> 16 -> 29 -> 49
4,0,4,0.9989669720331827,-0.0031006857239594655,4 -> 16 -> 29 -> 49
5,0,4,0.9989669720331827,-0.0031006857239594655,5 -> 16 -> 29 -> 49
6,0,4,0.9989669720331827,-0.0031006857239594655,6 -> 16 -> 29 -> 49
7,0,4,0.9989669720331827,-0.0031006857239594655,7 -> 16 -> 29 -> 49
8,0,4,0.9989669720331827,-0.0031006857239594655,8 -> 16 -> 29 -> 49
9,0,4,0.9989669720331827,-0.0031006857239594655,9 -> 16 -> 29 -> 49
10,0,4,0.9989669720331827,-0.0031006857239594655,10 -> 16 -> 29 -> 49
11,0,4,0.9989669720331827,-0.0031006857239594655,11 -> 16 -> 29 -> 49
12,0,4,0.9989669720331827,-0.0031006857239594655,12 -> 16 -> 29 -> 49
13,0,4,0.9989669720331827,-0.0031006857239594655,13 -> 16 -> 29 -> 49
14,0,4,0.9989669720331827,-0.0031006857239594655,14 -> 16 -> 29 -> 49
15,0,4,0.9989669720331827,-0.0031006857239594655,15 -> 16 -> 29 -> 49
