src_event_id,dst_event_id,weight_sum,weight_mean,support
0,19,0.35316455364227295,0.35316455364227295,1
7750,7769,0.35316455364227295,0.35316455364227295,1
400,419,0.35316455364227295,0.35316455364227295,1
13500,13519,0.35316455364227295,0.35316455364227295,1
12800,12819,0.35316455364227295,0.35316455364227295,1
12200,12219,0.35316455364227295,0.35316455364227295,1
11700,11719,0.35316455364227295,0.35316455364227295,1
11600,11619,0.35316455364227295,0.35316455364227295,1
11050,11069,0.35316455364227295,0.35316455364227295,1
11000,11019,0.35316455364227295,0.35316455364227295,1
10050,10069,0.35316455364227295,0.35316455364227295,1
9900,9919,0.35316455364227295,0.35316455364227295,1
9400,9419,0.35316455364227295,0.35316455364227295,1
8650,8669,0.35316455364227295,0.35316455364227295,1
8550,8569,0.35316455364227295,0.35316455364227295,1
10450,10469,0.35316455364227295,0.35316455364227295,1
7700,7719,0.35316455364227295,0.35316455364227295,1
5700,5719,0.35316455364227295,0.35316455364227295,1
7650,7669,0.35316455364227295,0.35316455364227295,1
950,969,0.35316455364227295,0.35316455364227295,1
1150,1169,0.35316455364227295,0.35316455364227295,1
1500,1519,0.35316455364227295,0.35316455364227295,1
1850,1869,0.35316455364227295,0.35316455364227295,1
3600,3619,0.35316455364227295,0.35316455364227295,1
850,869,0.35316455364227295,0.35316455364227295,1
5750,5769,0.35316455364227295,0.35316455364227295,1
6000,6019,0.35316455364227295,0.35316455364227295,1
6500,6519,0.35316455364227295,0.35316455364227295,1
6700,6719,0.35316455364227295,0.35316455364227295,1
7000,7019,0.35316455364227295,0.35316455364227295,1
11000,11038,0.3408398926258087,0.3408398926258087,1
8550,8588,0.3408398926258087,0.3408398926258087,1
8650,8688,0.3408398926258087,0.3408398926258087,1
9400,9438,0.3408398926258087,0.3408398926258087,1
9900,9938,0.3408398926258087,0.3408398926258087,1
10050,10088,0.3408398926258087,0.3408398926258087,1
10450,10488,0.3408398926258087,0.3408398926258087,1
11600,11638,0.3408398926258087,0.3408398926258087,1
11050,11088,0.3408398926258087,0.3408398926258087,1
